Language,Count
ASL,1
ApacheConf,1
AppleScript,1
Assembly,3
Awk,1
Batchfile,3
C,103
C#,17
C++,93
CSS,40
Classic ASP,1
Clojure,3
CoffeeScript,4
Crystal,33
D,1
Dart,9
Dhall,1
Dockerfile,12
Elixir,14
Emacs Lisp,9
Erlang,3
Go,657
HTML,45
Haskell,27
Hy,1
Idris,1
Java,28
JavaScript,358
Julia,1
Jupyter Notebook,16
Kotlin,7
Less,1
Lua,5
MATLAB,1
Makefile,6
Markdown,1
Mustache,1
NSIS,1
Nim,10
Nix,3
Nunjucks,1
OCaml,4
Objective-C,33
Objective-C++,3
Others,149
PHP,20
PLpgSQL,1
Perl,11
PowerShell,2
Prolog,1
PureScript,1
Python,694
QML,1
R,2
RAML,1
Rascal,1
Rich Text Format,2
Ring,1
Roff,1
Ruby,39
Rust,232
SCSS,3
Scala,3
Scheme,1
Shell,101
Swift,23
TLA,1
TSQL,2
TeX,4
TypeScript,105
V,2
Vim script,47
VimL,4
Vue,24
XSLT,1
Yacc,1
